PROLOGIS REIT INC,US74340W1036,"4,37"
SIMON PROPERTY GROUP REIT INC,US8288061091,"2,66"
PUBLIC STORAGE REIT,US74460D1090,"2,21"
WELLTOWER INC,US95040Q1040,"2,14"
AVALONBAY COMMUNITIES REIT INC,US0534841012,"2,01"
VONOVIA SE,DE000A1ML7J1,2
EQUITY RESIDENTIAL REIT,US29476L1070,"1,99"
DIGITAL REALTY TRUST REIT INC,US2538681030,"1,77"
REALTY INCOME REIT CORP,US7561091049,"1,7"
VENTAS REIT INC,US92276F1003,"1,45"
BOSTON PROPERTIES REIT INC,US1011211018,"1,37"
ESSEX PROPERTY TRUST REIT INC,US2971781057,"1,36"
SUN HUNG KAI PROPERTIES LTD,HK0016000132,"1,32"
LINK REAL ESTATE INVESTMENT TRUST,HK0823032773,"1,31"
ALEXANDRIA REAL ESTATE EQUITIES RE,US0152711091,"1,22"
HEALTHPEAK PROPERTIES INC,US42250P1030,"1,13"
CK ASSET HOLDINGS LTD,KYG2177B1014,"1,13"
UNIBAIL RODAMCO WE STAPLED UNITS N,FR0013326246,"1,12"
MID AMERICA APARTMENT COMMUNITIES,US59522J1034,"1,06"
SUN COMMUNITIES REIT INC,US8666741041,"0,98"
W. P. CAREY REIT INC,US92936U1097,"0,97"
DEUTSCHE WOHNEN,DE000A0HN5C6,"0,95"
UDR REIT INC,US9026531049,"0,94"
EXTRA SPACE STORAGE REIT INC,US30225T1025,"0,89"
DUKE REALTY REIT CORP,US2644115055,"0,87"
SEGRO REIT PLC,GB00B5ZN1N88,"0,81"
SCENTRE GROUP,AU000000SCG8,"0,8"
MEDICAL PROPERTIES TRUST REIT INC,US58463J3041,"0,78"
VICI PPTYS INC,US9256521090,"0,77"
CAMDEN PROPERTY TRUST REIT,US1331311027,"0,71"
HOST HOTELS & RESORTS REIT INC,US44107P1049,"0,7"
AROUNDTOWN PROPERTY HOLDINGS SA,LU1673108939,"0,69"
VEREIT INC,US92339V1008,"0,67"
REGENCY CENTERS REIT CORP,US7588491032,"0,67"
NIPPON BUILDING FUND REIT INC,JP3027670003,"0,66"
VORNADO REALTY TRUST REIT,US9290421091,"0,65"
GECINA REIT SA,FR0010040865,"0,64"
NATIONAL RETAIL PROPERTIES REIT IN,US6374171063,"0,63"
OMEGA HEALTHCARE INVESTORS REIT IN,US6819361006,"0,62"
GAMING AND LEISURE PROPERTIES REIT,US36467J1088,"0,61"
SWISS PRIME SITE AG,CH0008038389,"0,61"
JAPAN REAL ESTATE INVESTMENT TRUST,JP3027680002,"0,61"
FEDERAL REALTY INVESTMENT TRUST RE,US3137472060,"0,6"
DEXUS STAPLED UNITS,AU000000DXS1,"0,59"
LEG IMMOBILIEN N AG,DE000LEG1110,"0,56"
LAND SECURITIES GROUP REIT PLC,GB00BYW0PQ60,"0,55"
KILROY REALTY REIT CORP,US49427F1084,"0,54"
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,"0,53"
STORE CAPITAL CORP,US8621211007,"0,51"
APARTMENT INVESTMENT AND MANAGEMEN,US03748R7540,"0,51"
STOCKLAND STAPLED UNITS LTD,AU000000SGP0,"0,51"
GPT GROUP STAPLED UNITS,AU000000GPT8,"0,5"
NOMURA REAL ESTATE MASTER FUND REI,JP3048110005,"0,49"
CYRUSONE REIT INC,US23283R1005,"0,48"
KIMCO REALTY REIT CORP,US49446R1095,"0,48"
NEW WORLD DEVELOPMENT LTD,HK0017000149,"0,48"
CANADIAN APARTMENT PROPERTIES REAL,CA1349211054,"0,45"
HEALTHCARE TRUST OF AMERICA REIT I,US42225P5017,"0,45"
DOUGLAS EMMETT REIT INC,US25960P1093,"0,45"
SL GREEN REALTY REIT CORP,US78440X1019,"0,44"
CASTELLUM,SE0000379190,"0,44"
ASCENDAS REAL ESTATE INVESTMENT TR,SG1M77906915,"0,44"
CAPITALAND,SG1J27887962,"0,43"
AMERICAN CAMPUS COMMUNITIES REIT I,US0248351001,"0,43"
BRITISH LAND REIT PLC,GB0001367019,"0,42"
RIOCAN REAL ESTATE INVESTMENT TRUS,CA7669101031,"0,41"
WHARF REAL ESTATE INVESTMENT COMPA,KYG9593A1040,"0,41"
CUBESMART REIT,US2296631094,"0,4"
AMERICOLD REALTY TRUST,US03064D1081,"0,4"
KLEPIERRE REIT SA,FR0000121964,"0,4"
PSP SWISS PROPERTY AG,CH0018294154,"0,4"
